id_estacionamento;entrada;hora_entrada;saida;hora_saida;valor_estacionamento;cpf;id_vaga
1;2022-02-24;10:11:00;2022-02-24;11:26:00;12.50;860.466.368-17;10
2;2022-02-24;12:53:00;2022-02-24;15:53:00;17.50;037.679.092-00;10
3;2022-02-24;08:31:00;2022-02-24;11:01:00;7.50;757.816.660-36;3
12;2022-02-25;12:00:00;2022-02-25;13:00:00;12.50;485.522.339-59;10
17;2022-02-26;11:45:00;2022-02-26;13:30:00;12.50;962.178.727-06;9
18;2022-02-26;08:49:00;2022-02-26;12:49:00;20.00;597.955.221-91;9
19;2022-02-26;10:51:00;2022-02-26;14:36:00;17.50;842.022.641-69;11
22;2022-02-26;12:01:00;2022-02-26;16:01:00;10.00;158.660.877-07;7
23;2022-02-26;12:40:00;2022-02-26;14:25:00;12.50;395.005.819-22;9
27;2022-02-26;12:37:00;2022-02-26;17:07:00;20.00;694.235.242-06;13
33;2022-02-27;09:15:00;2022-02-27;12:00:00;15.00;938.014.315-09;11
35;2022-02-27;10:59:00;2022-02-27;14:14:00;8.75;981.894.943-92;3
36;2022-02-27;10:58:00;2022-02-27;15:13:00;20.00;288.667.376-58;10
38;2022-02-27;09:09:00;2022-02-27;12:54:00;17.50;286.150.469-21;9
41;2022-02-27;12:58:00;2022-02-27;15:43:00;15.00;891.575.889-70;9
57;2022-03-01;11:51:00;2022-03-01;14:36:00;15.00;787.327.017-30;13
62;2022-03-01;11:33:00;2022-03-01;15:03:00;17.50;574.746.905-35;13
75;2022-03-02;10:48:00;2022-03-02;12:48:00;15.00;311.756.371-73;11
78;2022-03-02;08:05:00;2022-03-02;11:35:00;17.50;570.776.506-93;12
85;2022-03-03;10:40:00;2022-03-03;14:55:00;10.00;073.202.759-45;3
88;2022-03-03;09:58:00;2022-03-03;14:28:00;20.00;763.952.560-84;12
90;2022-03-04;10:56:00;2022-03-04;15:11:00;10.00;409.163.286-60;2
97;2022-03-04;09:50:00;2022-03-04;11:50:00;15.00;746.115.849-09;9
99;2022-03-04;10:17:00;2022-03-04;14:17:00;20.00;300.766.852-25;11
106;2022-03-04;08:25:00;2022-03-04;11:55:00;8.75;893.076.453-37;4
111;2022-03-05;11:18:00;2022-03-05;12:48:00;12.50;618.874.220-05;14
115;2022-03-05;09:05:00;2022-03-05;13:35:00;20.00;900.206.435-78;9
120;2022-03-06;08:14:00;2022-03-06;11:29:00;17.50;162.262.067-48;12
129;2022-03-06;08:21:00;2022-03-06;12:21:00;20.00;191.921.293-07;9
134;2022-03-06;11:44:00;2022-03-06;16:14:00;10.00;701.815.694-77;1
138;2022-03-07;12:06:00;2022-03-07;14:51:00;15.00;645.329.387-08;11
151;2022-03-07;11:54:00;2022-03-07;16:24:00;20.00;857.950.358-23;9
157;2022-03-08;10:21:00;2022-03-08;13:21:00;17.50;330.594.014-03;10
159;2022-03-08;11:41:00;2022-03-08;13:41:00;7.50;629.680.888-74;3
165;2022-03-08;11:36:00;2022-03-08;13:36:00;15.00;782.603.942-86;14
