id_escaionamento;entrada;saida;valor_estacionamento;cpf;id_vaga
134;2022-03-06 11:44;2022-03-06 16:14;10.00;701.815.694-77;1
90;2022-03-04 10:56;2022-03-04 15:11;10.00;409.163.286-60;2
3;2022-02-24 08:31;2022-02-24 11:01;7.50;757.816.660-36;3
14;2022-02-25 11:51;2022-02-25 15:21;8.75;701.815.694-77;3
35;2022-02-27 10:59;2022-02-27 14:14;8.75;981.894.943-92;3
43;2022-02-28 09:19;2022-02-28 12:04;7.50;981.894.943-92;3
85;2022-03-03 10:40;2022-03-03 14:55;10.00;073.202.759-45;3
143;2022-03-07 09:22;2022-03-07 13:07;8.75;701.815.694-77;3
159;2022-03-08 11:41;2022-03-08 13:41;7.50;629.680.888-74;3
7;2022-02-25 09:51;2022-02-25 12:06;7.50;073.202.759-45;4
106;2022-03-04 08:25;2022-03-04 11:55;8.75;893.076.453-37;4
10;2022-02-25 11:55;2022-02-25 14:10;7.50;409.163.286-60;5
110;2022-03-05 08:14;2022-03-05 09:29;6.25;981.894.943-92;5
119;2022-03-05 11:30;2022-03-05 13:45;7.50;981.894.943-92;5
126;2022-03-06 12:28;2022-03-06 16:43;10.00;073.202.759-45;5
109;2022-03-05 10:00;2022-03-05 12:15;7.50;073.202.759-45;6
155;2022-03-08 10:25;2022-03-08 14:55;10.00;701.815.694-77;6
22;2022-02-26 12:01;2022-02-26 16:01;10.00;158.660.877-07;7
34;2022-02-27 11:05;2022-02-27 15:20;10.00;629.680.888-74;7
54;2022-03-01 10:56;2022-03-01 13:11;7.50;409.163.286-60;7
61;2022-03-01 08:30;2022-03-01 13:00;10.00;981.894.943-92;7
63;2022-03-01 09:47;2022-03-01 12:02;7.50;981.894.943-92;7
64;2022-03-01 08:07;2022-03-01 12:37;10.00;158.660.877-07;7
26;2022-02-26 12:38;2022-02-26 16:38;10.00;893.076.453-37;8
92;2022-03-04 09:38;2022-03-04 14:08;10.00;629.680.888-74;8
127;2022-03-06 10:43;2022-03-06 12:28;6.25;757.816.660-36;8
133;2022-03-06 08:48;2022-03-06 12:18;8.75;409.163.286-60;8
17;2022-02-26 11:45;2022-02-26 13:30;12.50;962.178.727-06;9
18;2022-02-26 08:49;2022-02-26 12:49;20.00;597.955.221-91;9
23;2022-02-26 12:40;2022-02-26 14:25;12.50;395.005.819-22;9
38;2022-02-27 09:09;2022-02-27 12:54;17.50;286.150.469-21;9
41;2022-02-27 12:58;2022-02-27 15:43;15.00;891.575.889-70;9
77;2022-03-02 11:02;2022-03-02 14:17;8.75;409.163.286-60;9
87;2022-03-03 09:39;2022-03-03 10:39;6.25;757.816.660-36;9
97;2022-03-04 09:50;2022-03-04 11:50;15.00;746.115.849-09;9
115;2022-03-05 09:05;2022-03-05 13:35;20.00;900.206.435-78;9
129;2022-03-06 08:21;2022-03-06 12:21;20.00;191.921.293-07;9
135;2022-03-06 12:16;2022-03-06 16:31;10.00;701.815.694-77;9
140;2022-03-07 11:50;2022-03-07 14:20;7.50;158.660.877-07;9
142;2022-03-07 08:24;2022-03-07 09:24;12.50;395.005.819-22;9
151;2022-03-07 11:54;2022-03-07 16:24;20.00;857.950.358-23;9
1;2022-02-24 10:11;2022-02-24 11:26;12.50;860.466.368-17;10
2;2022-02-24 12:53;2022-02-24 15:53;17.50;037.679.092-00;10
12;2022-02-25 12:00;2022-02-25 13:00;12.50;485.522.339-59;10
36;2022-02-27 10:58;2022-02-27 15:13;20.00;288.667.376-58;10
67;2022-03-01 11:11;2022-03-01 13:11;15.00;597.955.221-91;10
113;2022-03-05 11:55;2022-03-05 13:40;12.50;286.150.469-21;10
157;2022-03-08 10:21;2022-03-08 13:21;17.50;330.594.014-03;10
19;2022-02-26 10:51;2022-02-26 14:36;17.50;842.022.641-69;11
20;2022-02-26 12:11;2022-02-26 13:11;12.50;330.594.014-03;11
33;2022-02-27 09:15;2022-02-27 12:00;15.00;938.014.315-09;11
56;2022-03-01 10:32;2022-03-01 14:02;17.50;900.206.435-78;11
75;2022-03-02 10:48;2022-03-02 12:48;15.00;311.756.371-73;11
99;2022-03-04 10:17;2022-03-04 14:17;20.00;300.766.852-25;11
108;2022-03-05 11:41;2022-03-05 13:56;15.00;597.955.221-91;11
138;2022-03-07 12:06;2022-03-07 14:51;15.00;645.329.387-08;11
8;2022-02-25 08:17;2022-02-25 11:47;17.50;300.766.852-25;12
11;2022-02-25 11:56;2022-02-25 16:26;20.00;746.115.849-09;12
13;2022-02-25 10:22;2022-02-25 13:22;17.50;311.756.371-73;12
55;2022-03-01 12:18;2022-03-01 14:03;12.50;037.679.092-00;12
78;2022-03-02 08:05;2022-03-02 11:35;17.50;570.776.506-93;12
80;2022-03-03 08:54;2022-03-03 10:24;12.50;311.756.371-73;12
88;2022-03-03 09:58;2022-03-03 14:28;20.00;763.952.560-84;12
101;2022-03-04 09:11;2022-03-04 11:26;15.00;938.014.315-09;12
103;2022-03-04 10:04;2022-03-04 13:19;17.50;286.150.469-21;12
112;2022-03-05 12:22;2022-03-05 14:07;12.50;857.950.358-23;12
120;2022-03-06 08:14;2022-03-06 11:29;17.50;162.262.067-48;12
144;2022-03-07 11:43;2022-03-07 14:58;17.50;330.594.014-03;12
148;2022-03-07 09:24;2022-03-07 11:24;15.00;962.178.727-06;12
153;2022-03-07 08:36;2022-03-07 13:06;20.00;645.329.387-08;12
27;2022-02-26 12:37;2022-02-26 17:07;20.00;694.235.242-06;13
46;2022-02-28 09:52;2022-02-28 13:22;17.50;694.235.242-06;13
57;2022-03-01 11:51;2022-03-01 14:36;15.00;787.327.017-30;13
62;2022-03-01 11:33;2022-03-01 15:03;17.50;574.746.905-35;13
73;2022-03-02 09:38;2022-03-02 13:53;20.00;191.921.293-07;13
76;2022-03-02 08:09;2022-03-02 10:39;15.00;694.235.242-06;13
118;2022-03-05 12:25;2022-03-05 15:40;17.50;330.594.014-03;13
6;2022-02-25 12:20;2022-02-25 16:05;17.50;288.667.376-58;14
32;2022-02-27 11:40;2022-02-27 13:55;15.00;574.746.905-35;14
40;2022-02-27 12:19;2022-02-27 14:19;15.00;597.955.221-91;14
45;2022-02-28 11:15;2022-02-28 15:30;20.00;570.776.506-93;14
52;2022-02-28 08:38;2022-02-28 12:38;20.00;395.005.819-22;14
60;2022-03-01 08:39;2022-03-01 12:24;17.50;938.014.315-09;14
69;2022-03-01 09:01;2022-03-01 10:16;12.50;597.955.221-91;14
95;2022-03-04 10:53;2022-03-04 15:23;20.00;962.178.727-06;14
98;2022-03-04 08:14;2022-03-04 10:14;15.00;938.014.315-09;14
111;2022-03-05 11:18;2022-03-05 12:48;12.50;618.874.220-05;14
