id_aluguel;diaria;aluguel;devolucao;valor;observacao;cpf;placa
1;80;2022-03-17;2022-03-24;560;OK;211.983.664-78;DEA-7981
2;120;2022-04-02;2022-04-10;960;OK;258.537.606-02;CBC-4945
3;110;2022-04-18;2022-04-25;770;OK;726.222.683-51;BEE-7735
4;100;2022-05-04;2022-05-14;1000;OK;226.213.963-64;CBA-4403
5;90;2022-05-20;2022-05-27;630;OK;661.025.829-50;BBC-8504
6;90;2022-06-05;2022-06-14;910;Retrovisor direito quebrado;609.983.828-76;BEB-5885
7;150;2022-06-25;2022-06-30;750;OK;487.140.614-81;EDB-2475
8;120;2022-07-15;2022-07-22;840;OK;609.983.828-76;CBC-4945
9;150;2022-08-04;2022-08-08;600;OK;211.983.664-78;EDB-2475
10;80;2022-08-24;2022-08-30;580;Sem estepe;211.983.664-78;DEA-7981
11;100;2022-09-13;2022-09-20;700;OK;487.140.614-81;CBA-4403
12;90;2022-09-16;2022-09-24;720;OK;258.537.606-02;BBC-8504
13;110;2022-09-19;2022-09-24;550;OK;228.160.778-02;BEE-7735
14;90;2022-09-22;2022-09-27;550;Bancos sujos;908.554.137-94;BEB-5885
15;100;2022-09-25;2022-10-05;1000;OK;609.983.828-76;CBA-4403
16;110;2022-09-28;2022-10-05;770;OK;735.003.345-12;BEE-7735
17;90;2022-10-01;2022-10-05;360;OK;211.983.664-78;BBC-8504
18;120;2022-10-04;2022-10-13;1180;Vômito de bebê;487.140.614-81;CBC-4945
19;80;2022-10-07;2022-10-11;320;OK;226.213.963-64;DEA-7981
20;120;2022-10-16;2022-10-26;1200;OK;487.140.614-81;CBC-4945
21;150;2022-10-25;2022-10-30;750;OK;908.554.137-94;EDB-2475
22;100;2022-11-03;2022-11-13;1000;OK;726.222.683-51;CBA-4403
23;90;2022-11-12;2022-11-15;270;OK;228.160.778-02;BEB-5885
24;90;2022-11-21;2022-11-30;810;OK;908.554.137-94;BBC-8504
25;80;2022-11-30;2022-12-03;240;OK;726.222.683-51;DEA-7981
26;120;2022-12-09;2022-12-15;720;OK;211.983.664-78;CBC-4945
